full_text,preprocessed,label
Green SM dan Gojek berkolaborasi dalam penyediaan layanan Green SM di aplikasi Gojek,green gojek kolaborasi sedia layan green aplikasi gojek,netral
semoga penyakit suka mindah2in titik sendiri ke tempat yg jauh padahal gua masih di tempat yg sama ky pesenan sebelomnya yg diderita aplikasi gojek cpt sembuh anjg,moga sakit suka mindahin titik sendiri tempat jauh padahal gua tempat sama sen bom derita aplikasi gojek cpt sembuh anjg,netral
@kayiaeo_O Selamat siang. Apabila yang dimaksud E-Toll (E-Money terbitan Bank Mandiri) kartu tersebut dapat digunakan untuk perjalanan Commuter Line Prameks. Untuk pembelian QR tiket di aplikasi Gojek pada fitur GoTransit belum dapat ditentukan masuk kuota tiket. Pembelian QR tiket bisa,selamat siang apabila maksud etoll emoney terbit bank mandiri kartu sebut guna jalan commuter line prameks beli tiket aplikasi gojek fitur gotransit tentu masuk kuota tiket beli tiket,negatif
Green SM penyedia layanan armada 100 persen taksi listrik resmi berkolaborasi dengan Gojek dalam menghadirkan layanan GoGreen SM yang kini tersedia di aplikasi Gojek. ~TA #GreenSM #Gojek https://t.co/WDtz4ZvQvy,green sedia layan armada persen taksi listrik resmi kolaborasi gojek hadir layan gogreen kini sedia aplikasi gojek,netral
@Kirito1765 Belinya lewat apa? Aplikasi mereka atau gojek/ovo/shopeepay atau mbanking? Kemaren ngisi lewat mbanking mandiri dan bca gak ada masalah.,beli lewat apa aplikasi gojekovoshopeepay mbanking kemaren ngisi lewat mbanking mandiri bca gak masalah,netral
@tanyarlfes Aplikasi gojek nder,aplikasi gojek nder,netral
@3ahriii_ Selamat malam Kak. QRIS Tap saat ini belum bisa digunakan sebagai tiket Commuter Line ya kak alternatif bisa unduh aplikasi c-acces/access by KAI/Gojek (Gotransit) untuk pembelian tiket via scan QR code ya Kak. Tks.,selamat malam kak qris tap guna tiket commuter line kak alternatif unduh aplikasi caccesaccess kaigojek gotransit beli tiket via scan code kak tks,negatif
@waafahal @jadijago seharusnya Rp0 keterangannya knp harus beda jumlah saldo di aplikasi gopay sama gojek kalau sudah di transfer ke gopay tabungan saya lihat ini juga terjadi dibeberapa customer yg baru pertama kali buat gopay tabungan seperti halnya yg terjadi di saya ada yg sampai jutaan juga,terang knp beda jumlah saldo aplikasi gopay sama gojek kalau transfer gopay tabung lihat jadi beberapa customer baru pertama kali buat gopay tabung hal jadi juta,netral
@waafahal @gopayindonesia tapi saya lihat di akun lain seharusnya Rp0 di gopay saldo terus knp keterangan saldo di aplikasi gopay sama gojek bisa beda??,lihat akun gopay saldo terus knp terang saldo aplikasi gopay sama gojek beda,netral
@BaseBDG Buat kalian kalau mau beli beras beli d gomart aja (aplikasi gojek) belinya tiap harus sabtu harganya sktar 62rb dan free ongkir,buat kalian kalau mau beli beras beli gomart aja aplikasi gojek beli tiap sabtu harga sktar free ongkir,netral
memang aplikasi gojek ini penyelamat di segala kondisi. bisa apa gue tanpa abang2 gojek. love gojek️️ https://t.co/XLvGlAyBKw,memang aplikasi gojek selamat segala kondisi apa gue abang gojek love gojek,negatif
Deadline mepet hujan deras motor gak bisa dipake? Langsung aja buka aplikasi Gojek order GoRide bayar pake GoPay. Jangan lupa pakai promo PASTIADAJALAN biar makin hemat! @gojekindonesia #PASTIADAJALAN https://t.co/i5Qy6Qule0,deadline mepet hujan deras motor gak dipake langsung aja buka aplikasi gojek order goride bayar pake gopay jangan lupa pakai promo pastiadajalan biar makin hemat,netral
Pov: Semua promo kyak muncul disaat yg paling dibutuhkan tiap buka aplikasi Gojek @gojekindonesia #GSKSMG2025 #PASTIADAJALAN #GOJEK https://t.co/54CCo5sai9,pov semua promo kyak muncul saat paling butuh tiap buka aplikasi gojek,netral
Gw baru tau klo gojek di aplikasi drivernya akun gw ada notesnya pelanggan ini titik penjemputan tidak selalu tepat harap menghubungi kembali Kek gw ngerasa dih apebuedh ,baru tau klo gojek aplikasi drivernya akun notes langgan titik jemput selalu tepat harap hubung kek ngerasa dih apebuedh,netral
@yolanderf @wookiesn @BaseBDG enggak dia instal aplikasi grab/gojek dll. trs pesen dari titik A ke titik B ntar di situ ada titik2 ijo letak driver terdekat. tinggal d liat aja d map nya ada dimana tuh driver tp y random ,enggak instal aplikasi grabgojek trs sen titik titik ntar situ titik ijo letak driver dekat tinggal liat aja map nya tuh driver random,netral
@mdrfhyt gojek mau berubah jadi aplikasi fintech wkwkw,gojek mau ubah jadi aplikasi fintech wkwkw,netral
BISA INI ITU DENGAN GOJEK??? Bisa banget dapet hadiah jutaan dari GOJEK dengan redeem kode #PASTIADAJALAN di Aplikasi Gojek! Klaim kore unikmu dan menangkan banyak hadiahnya‼️ #GSKPWT2025 #NgampusHematBarengGojek #GojekSahabatKampus @gojekindonesia https://t.co/vFpsxctrA6,gojek banget dapet hadiah juta gojek redeem kode aplikasi gojek klaim kore unik menang banyak hadiah,netral
Mau diskon gede buat GoRide ke/dari stasiun? Pake aja kode promo GOSTASIUN + GOINF25 pas transaksi di aplikasi Gojek kamu! Langsung berasa hematnya. Buruan sikat! #GOSTASIUN #GOINF25 #GSKPWT2025 #NgampusHematBarengGojek #GojekSahabatKampus @gojek.yogyakarta https://t.co/1eC06KRMvj,mau diskon gede buat goride dar stasiun pake aja kode promo gostasiun goinf pas transaksi aplikasi gojek kamu langsung asa hemat buru sikat yogyakarta,netral
@ppngjijimagu Selamat malam Kak apabila belum melakukan tap out dengan aplikasi Gojek untuk perjalanan esok hari maka bisa dilakukan ya apabila terdapat kendala silakan bisa menghubungi petugas di stasiun keberangkatan. Tks.,selamat malam kak apabila laku tap out aplikasi gojek jalan esok hari laku apabila dapat kendala sila hubung tugas stasiun berangkat tks,negatif
HAAHH!!!?! kapan lagi setiap pake aplikasi Gojek bakal dapet hadiah menarik!!! Jangan lupa dipake guys kode promo PASTIADAJALAN yaa temen temen siapa tau kalian bakal dapetin hadiah hadiah menariknya!!! @gojek_smg @gojekindonesia #GSKSMG2025 https://t.co/xiJVVPPihX,haahh kapan pake aplikasi gojek bakal dapet hadiah tarik jangan lupa dipake guys kode promo pastiadajalan yaa temen temen siapa tau kalian bakal dapetin hadiah hadiah tarik,netral
HAAHH!!!?! kapan lagi setiap pake aplikasi Gojek bakal dapet hadiah menarik!!! Jangan lupa dipake guys kode promo PASTIADAJALAN yaa temen temen siapa tau kalian bakal dapetin hadiah hadiah menariknya!!! @gojek_smg @gojekindonesia #GSKSMG2025 https://t.co/AgsVRnNAhA,haahh kapan pake aplikasi gojek bakal dapet hadiah tarik jangan lupa dipake guys kode promo pastiadajalan yaa temen temen siapa tau kalian bakal dapetin hadiah hadiah tarik,netral
@gojekindonesia saya mau tanya ini kenapa bisa terjadi ya saya pesan gofood dan titik pengantaran/alamat sudah sesuai tapi titiknya malah berbeda jauh dengan yang di drivernya? jadinya malah harus shareloc di luar aplikasi gojek. ini buat gak nyaman antara cust &amp; driver.,mau tanya jadi pesan gofood titik pengantaranalamat sesuai titik malah beda jauh drivernya jadi malah shareloc luar aplikasi gojek buat gak nyaman cust amp driver,negatif
Mau dapet hadiah jutaan rupiah cuma dari pakai Gojek? YEP kamu nggak salah baca. #PastiAdaJalan buat menang asal kamu gercep! Buruan cek di aplikasi Gojek sekarang! #NgampusHematBarengGojek #PromoGojek #GSKPWT2025 #GojekSahabatKampus @gojekindonesia https://t.co/RgXa4PKoaU,mau dapet hadiah juta rupiah cuma pakai gojek yep kamu salah baca buat menang asal kamu gercep buru cek aplikasi gojek sekarang,netral
@vespamatic96 Klo gitu Ama aja om...Napa Lo ngojek pake gojek bukan pake Maxim...Lo bikin kaya yg punya gojek...coba Lo GX pake aplikasi gojek...bakalan tutup tu gojek...sama GX kira2x om narasinya,klo gitu ama aja omnapa ngojek pake gojek bukan pake maximlo bikin kaya punya gojekcoba pake aplikasi gojekbakalan tutup gojeksama kirax narasi,netral
Cara apply code voucher 1. Buka Aplikasi Gojek dan pilih promo 2. ⁠Pilih Masukan kode promo 3. ⁠Masukan Kode GOFPS dan validasi kodenya kalau udh redeem kode GOFPS nya kamu bisa masukin promo PASTIADAJALAN ,cara apply code voucher buka aplikasi gojek pilih promo pilih masuk kode promo masuk kode gofps validasi kode kalau udh redeem kode gofps nya kamu masukin promo pastiadajalan,netral
Hallo gyuss Aku salah satu pengguna gojek hemat yang pastinya memudahkan dalm kegiatan sehari-hari yukk kalian juga cobain promonya di aplikasi gojek @gojekindonesia #GSKSEMARANG2025 #Gojek #zona jajan #goride https://t.co/NNcrYe35X4,hallo gyuss aku salah satu guna gojek hemat pasti mudah dalm giat seharihari yukk kalian cobain promonya aplikasi gojek jajan,netral
@tsun_shine @farhanrivaldy_ Kalo login gojek kan dapet otp nah otp nya dimasukan ke aplikasi tapi karena ini fake otp itu masuk ke telegram scammer dia nge loop berkali kali agar scammer pusing bangak otp palsu,kalo login gojek kan dapet otp nah otp nya masuk aplikasi fake otp masuk telegram scammer nge loop kali kali scammer pusing bangak otp palsu,netral
Hampir saja tangan ini menyentuh aplikasi Gojek. Tahan tahan,hampir tangan sentuh aplikasi gojek tahan tahan,netral
@floweryliy Heeeehhhh cucu gundik emang HP maneh te boga aplikasi ojolkah ??? Grab gojek indriver maxim uber anjiirrrrr boa cicing d leweng sugan ,heeeehhhh cucu gundik emang maneh boga aplikasi ojolkah grab gojek indriver maxim uber anjiirrrrr boa cicing leweng sugan,netral
Cara apply code voucher 1. Buka Aplikasi Gojek dan pilih promo 2. ⁠Pilih Masukan kode promo 3. ⁠Masukan Kode GOFPS dan validasi kodenya kalau udh redeem kode GOFPS nya kamu bisa masukin promo PASTIADAJALAN GAMPANG BANGET KAN? AYO CEPETAN APPLY KODE NYA,cara apply code voucher buka aplikasi gojek pilih promo pilih masuk kode promo masuk kode gofps validasi kode kalau udh redeem kode gofps nya kamu masukin promo pastiadajalan gampang banget kan ayo cepetan apply kode nya,netral
sumpah trmen trmen maaf tbtb balik ini ada paket salah kirim ke rumahku sumpah.. paket nya dikirim pake gojek aku terima trs aku bayar soalnya KIRAIN GOFOOD AKU YG LAGI DI JALAN JG aku liat aplikasi abang abangnya udh di deket rumah juga aku kaget kok pas dibuka isinya bkn,sumpah trmen trmen maaf tbtb balik paket salah kirim rumah sumpah paket nya kirim pake gojek aku terima trs aku bayar soal kirain gofood aku jalan aku liat aplikasi abang abang udh deket rumah aku kaget kok pas buka isi bkn,netral
Mau hemat ngapain aja? AYO PAKE GOJEKPLUS buat dapetin banyak promo. Buka aplikasi Gojek pake m kode referal GOECOPICK untuk diskon spesial yang bikin kantong kamu tetap aman! #pastiadajaln #gojek #goridehemat #gsk2025 #gojeksahabatkampus @gojek_smg https://t.co/qNiwqXWnq8,mau hemat ngapain aja ayo pake gojekplus buat dapetin banyak promo buka aplikasi gojek pake kode referal goecopick diskon spesial bikin kantong kamu tetap aman,netral
Top 3 most annoying ads while playing mobile games: 3. Traveloka 2. Grab/Gojek Harus dipencet min 3 buat nutup salah pencet dikit langsung pindah aplikasi. 1. Adakami Auto instal sendiri aplikasinya. So annoying.,top most annoying ads while playing mobile games traveloka grabgojek pencet min buat nutup salah pencet dikit langsung pindah aplikasi adakami auto instal sendiri aplikasi annoying,positif
@kazegakieta @KAI121 Selamat pagi Kak. Untuk pembelian tiket perjalanan Commuter Line via aplikasi GoJek diwajibkan untuk scan in dan out sesuai dengan stasiun yang tertera pada tiket. Untuk perjalanan yang Kakak lakukan silakan dapat menemui petugas Passenger Service di Stasiun akhir tujuannya untuk,selamat pagi kak beli tiket jalan commuter line via aplikasi gojek wajib scan out sesuai stasiun tera tiket jalan kakak laku sila temu tugas passenger service stasiun akhir tuju,negatif
@LoversSinglet @infomalang Di terminal ada shelter grab atau gojek kok lokasinya di sebelah pom bensin pas. Tarifnya sesuai aplikasi &amp; kalau minta dijemput bisa req disitu.,terminal shelter grab gojek kok lokasi belah pom bensin pas tarif sesuai aplikasi amp kalau minta jemput req situ,netral
VOUCHER PROMO PAKAI GORIDE DISKON 90% !! [RESTOCK TERBATAS] GO47PVTNX7UF GORIDEAJA [WAJIB REDEEM SEBELUM KEHABISAN] Redeem di aplikasi gojek atau bisa langsung klik link https://t.co/YxSBhCXLnD https://t.co/uJbyddM3q8,voucher promo pakai goride diskon restock batas gopvtnxuf gorideaja wajib redeem habis redeem aplikasi gojek langsung klik link,netral
@kth_kaa Jika lupa klaim voucher GORIDEAJA coba hubungi customer support Gojek lewat aplikasi: buka Menu Utama pilih Help Center lalu Vouchers and Promotion dan laporkan My voucher is missing . Bisa juga coba kontak via media sosial resmi Gojek tapi cek dulu akun resminya. Tidak ada,lupa klaim voucher gorideaja coba hubung customer support gojek lewat aplikasi buka menu utama pilih help center lalu vouchers and promotion lapor voucher missing coba kontak via media sosial resmi gojek cek dulu akun resmi,netral
lagunya perunggu tuh sgt related bgt buat anak rantau yang suka homesick lagu ini tuh jadi motivasi buat mimin buat ngejalanin apa yang mimin sudah mulai mimin jadi semangat buat ikutan campaign kode PASTIADAJALAN di aplikasi gojek #GSKSMG2025 #GOJEKHEMAT @gojekindonesia https://t.co/TITDSFPPKV,lagu perunggu tuh sgt related bgt buat anak rantau suka homesick lagu tuh jadi motivasi buat mimin buat ngejalanin apa mimin mulai mimin jadi semangat buat ikut campaign kode pastiadajalan aplikasi gojek,netral
Gak peduli seberapa macet hujan atau sibuk harimu... #PASTIADAJALAN bareng Gojek! Semua ada solusinya: mau makan kirim barang sampai cari ojek. Satu aplikasi jutaan kemudahan. https://t.co/3lNtQMZUal,gak peduli berapa macet hujan sibuk hari bareng gojek semua solusi mau makan kirim barang cari ojek satu aplikasi juta mudah,netral
untukku bank jago : aku pakai gojek app dan udh otomatis konek ke bank jago walau aku ga punya aplikasi dan bukan nasabah selain itu aku pake bibit yg konek ke gojek. kalau seabank : kena iming dari temen aku yg katanya bunga cair tiap hari aku pengen tau ± lainnya apa,untuk bank jago aku pakai gojek app udh otomatis konek bank jago aku punya aplikasi bukan nasabah aku pake bibit konek gojek kalau seabank kena iming temen aku kata bunga cair tiap hari aku ken tau lain apa,netral
-dips! Tiap hari pesen GoFood GoRide sampe GoSend. Langganan Gojek Plus diskon melimpah dompet aman! Buka aplikasi pesen apa aja hemat terus. @gojekindonesia bikin hidup gampang! https://t.co/Vzv2xyvveN,dips tiap hari sen gofood goride sampe gosend langgan gojek plus diskon limpah dompet aman buka aplikasi sen apa aja hemat terus bikin hidup gampang,netral
Tiap hari pesen GoFood GoRide sampe GoSend? Langganan Gojek Plus juga dongg!!! Diskon melimpah dompet aman! Buka aplikasi pesen apa aja hemat terus. @gojekindonesia bikin hidup lebih gampang! #GSKSMG2025 https://t.co/X9JX0CmXtt,tiap hari sen gofood goride sampe gosend langgan gojek plus dongg diskon limpah dompet aman buka aplikasi sen apa aja hemat terus bikin hidup lebih gampang,netral
@toe_giman Ini konten aja kan soalnya masnya nelpon pakai wa kalo aplikasi Gojek g kyk gt,konten aja kan soal mas nelpon pakai kalo aplikasi gojek kyk,netral
 Naik Gojek gak harus mahal! Pakai #GojekHemat dapetin DISKON tiap hari mulai dari Rp5.000-an aja! Tetep nyaman. Tetep aman. Tetep irit. ️ Cek promonya di aplikasi sekarang! #GojekHemat #PASTIADAJALAN https://t.co/xBsEKqFznd,naik gojek gak mahal pakai dapetin diskon tiap hari mulai rpan aja tetep nyaman tetep aman tetep irit cek promonya aplikasi sekarang,netral
Semua urusan harian? Gojek solusinya! Pakai kode GOJEKHEMAT di aplikasi Gojek buat nikmatin diskon spesial di tiap layanan. Masukkan juga kode referral GOECOPICK Jangan sampai ketinggalan promonya! #pastiadajalan #gsk2025 #gojeksahabatkampus @Gojek_Semarang https://t.co/puC2HOAqoC,semua urus hari gojek solusi pakai kode gojekhemat aplikasi gojek buat nikmatin diskon spesial tiap layan masuk kode referral goecopick jangan tinggal promonya,netral
 Pakai kode promo PASTIADAJALAN di aplikasi Gojek untuk berbagai layanan dari transportasi sampai kirim barang. Masukkan kode referral GOECOPICK agar kamu dapat bonus menarik dan aku ikut terbantu! #pastiadajalan #gsk2025 #gojeksahabatkampus @Gojek_Semarang https://t.co/zu24qJjCVr,pakai kode promo pastiadajalan aplikasi gojek bagai layan transportasi kirim barang masuk kode referral goecopick kamu bonus tarik aku ikut bantu,netral
Hello min @gojekindonesia @gojektech usul tolong go-food dilengkapi fitur share loc seperti gosend &amp; gojek. Sering jg kami order makan utk org lain/keluarga &amp; g bisa terus pantau aplikasi utk cek posisinya dmn &amp; harus kabari penerima. Dgn share loc penerima bisa cek sendiri. Ty,hello min usul gofood lengkap fitur share loc gosend amp gojek sering order makan utk org lainkeluarga amp terus pantau aplikasi utk cek posisi dmn amp kabar terima dgn share loc terima cek sendiri,netral
Dari pada langganan aplikasi yang jarang kamu pake. mending langganan gojek plus disana kamu bakal dapetin berbagai diskon disetiap transaksinya. ga bakal rugi deh auto happy teruss! @gojek_soloraya #GSKSOLO2025 #GOJEKPLUS https://t.co/jY9K3OXg5C,langgan aplikasi jarang kamu pake mending langgan gojek plus sana kamu bakal dapetin bagai diskon tiap transaksi bakal rugi deh auto happy teruss,netral
 Mau cepat aman dan tanpa ribet? #PakeGojek aja! Dari antar makanan sampai kirim paket semua beres dalam satu aplikasi. #Gojek #PASTIADAJALAN https://t.co/O3z8i5z1og,mau cepat aman ribet aja antar makan kirim paket semua beres satu aplikasi,positif
Lu bayangin gw mantengin aplikasi grab gojek hampir 20 menit udah dicancel driver car mereka lebih dari 5x kondisi jalan gak macet samsek mereka cm ga mau muter balik doang padahal gw bayar loh. Gua ngabisin 20 menit gua buat nunggu driver nerima orderan gw doang ,bayangin mantengin aplikasi grab gojek hampir menit udah dicancel driver car lebih kondisi jalan gak macet samsek mau muter balik doang padahal bayar loh gua ngabisin menit gua buat nunggu driver nerima order doang,netral
@hariantimeline Lah aplikasi gojek aja coding nye boleh nyontek Dr si grab punya. Kalo lo mau tau dia beli coding nya si grab Dan cuma ganti bbrp fitur doank.,lah aplikasi gojek aja coding nye nyontek grab punya kalo mau tau beli coding nya grab cuma ganti bbrp fitur doank,netral
@pln_123 halo admin kenapa saya mau beli token di aplikasi gojek selalu gagal???,halo admin mau beli token aplikasi gojek selalu gagal,netral
Lagi ngerasa stuck? Wajar. Hidup nggak selalu mulus. Tapi tenang #PASTIADAJALAN. Gojek siap nemenin setiap langkahmu Gunakan kode promo: PASTIADAJALAN Dapetin diskon spesial buat GoRide GoFood dan GoSend! Yuk buka aplikasi Gojek sekarang. @gojekindonesia #GSKSMG2025 https://t.co/519tToCGMy,ngerasa stuck wajar hidup selalu mulus tenang gojek siap nemenin langkah guna kode promo pastiadajalan dapetin diskon spesial buat goride gofood gosend yuk buka aplikasi gojek sekarang,netral
Tadi pas mau cari makan malam kok malas banget ya cari makanan di luar. Untung aja tadi nemu kode promo PASTIADAJALAN di gojek pas bangett kondisinya. Ayukk guysss bisa masukkin kodenya di aplikasi gojek @gojekindonesia #GSKSMG2025 https://t.co/vsNJl9959u,tadi pas mau cari makan malam kok malas banget cari makan luar untung aja tadi nemu kode promo pastiadajalan gojek pas bangett kondisi ayukk guysss masukkin kode aplikasi gojek,netral
jujur gue badmood banget kalo iklan gojek di gue... soalnya ga keitung langsung lari ke aplikasi nya jadi ke refresh... bisa ga sih jangan buat gue nangis gegara vote ,jujur gue badmood banget kalo iklan gojek gue soal keitung langsung lari aplikasi nya jadi refresh sih jangan buat gue nang gegara vote,netral
 Gojek = Aplikasi layanan transportasi ️ Gojeg = Bahasa Jawa yang berarti bercanda Dua kata ini bunyinya mirip tapi artinya beda jauh. Jadi kalau naik GO-JEK jangan kebanyakan gojeg biar abangnya tetap fokus ke jalan! ,gojek aplikasi layan transportasi gojeg bahasa jawa arti canda kata bunyi mirip arti beda jauh jadi kalau naik gojek jangan banyak gojeg biar abang tetap fokus jalan,netral
Baru tau kalo ada aplikasi kupon begini tapi cuma bisa makan ditempat kirain bisa order pake gojek https://t.co/9vYLJmNz90,baru tau kalo aplikasi kupon begini cuma makan tempat kirain order pake gojek,netral
@EdsNababan Kan udah ready tupatnya tinggal masuk aplikasi gojek klik go send gampang kan.,kan udah ready tupatnya tinggal masuk aplikasi gojek klik send gampang kan,netral
Tadi dapet abang Gojek Tuna Rungu beliau info by chat dan terpampang Namanya di Aplikasi. Luckily msh inget bahasa isyarat hasil dari jd relawan APG terus Abang nya kayak senyumnya lebar gt huaa https://t.co/N17pcGfqfD,tadi dapet abang gojek tuna rungu beliau info chat pampang nama aplikasi luckily msh inget bahasa isyarat hasil rawan apg terus abang nya kayak senyum lebar huaa,netral
MASIH ADA TOTAL 5 GR EMAS BUAT KAMU‼️ Ini kesempatan kamu buat tebak dan menangin hadiahnya! Cek #PestaKulinerGoFood di aplikasi Gojek untuk tau jawabannya https://t.co/lgch4s2iAB,total emas buat kamu sempat kamu buat tebak menangin hadiah cek aplikasi gojek tau jawab,netral
* Cashback 15% untuk Ganti Suku Cadang di Planet Ban * Cashback 10% untuk Ganti Ban di Planet Ban| * GRATIS Isi Nitrogen Ayo serbu promonya di halaman Swadaya pada aplikasi Gojek Driver! #GojekSwadaya #SalamSatuAspal #HematDenganSwadaya #PromoPlanetBan #BanPresaPlaneto,cashback ganti suku cadang planet ban cashback ganti ban planet ban gratis isi nitrogen ayo serbu promonya halaman swadaya aplikasi gojek driver,negatif
Nge-bid bebas cemas dengan perlindungan dari BPJS Ketenagakerjaan. Banyak manfaatnya! Cek aplikasi Gojek Driver klik Banner BPJS-TK dan daftar sekarang juga! Promo terbatas! #GojekSwadaya #PromoBPJSTK #SalamSatuAspal #HematDenganSwadaya,ngebid bebas cemas lindung bpjs ketenagakerjaan banyak manfaat cek aplikasi gojek driver klik banner bpjstk daftar sekarang promo batas,netral
VOUCHER PROMO GORIDE TERBARU SPESIAL LIBURAN IDUL ADHA &amp; TIMNAS DAY!! GOINDONESIA GO47PVTNX7UF YUKLIBUR [WAJIB REDEEM SEBELUM KEHABISAN] Redeem di aplikasi gojek atau bisa langsung klik link https://t.co/YxSBhCXLnD https://t.co/qspG4wpStG,voucher promo goride baru spesial libur idul adha amp timnas day goindonesia gopvtnxuf yuklibur wajib redeem habis redeem aplikasi gojek langsung klik link,netral
oy apaan gojek minta duit di luar aplikasi,apa gojek minta duit luar aplikasi,netral
VOUCHER PROMO GOJEK TERBARU SPESIAL LIBURAN IDUL ADHA!! [RESTOCK] GO47PVTNX7UF YUKLIBUR [WAJIB REDEEM SEBELUM KEHABISAN] Redeem di aplikasi gojek atau bisa langsung klik link https://t.co/YxSBhCXdy5 https://t.co/kPWvux3x1O,voucher promo gojek baru spesial libur idul adha restock gopvtnxuf yuklibur wajib redeem habis redeem aplikasi gojek langsung klik link,netral
@ofBabyMonster @user Berdasarkan keluhan di X pengguna GoPay di Indonesia sering melaporkan error aplikasi seperti transaksi gagal dan crash saat digunakan di app Gojek. Banyak juga yang kesulitan menghubungi layanan pelanggan dengan laporan CS tidak responsif. Selain itu ada masalah akses,dasar keluh guna gopay indonesia sering lapor error aplikasi transaksi gagal crash guna app gojek banyak sulit hubung layan langgan lapor responsif masalah akses,netral
Aplikasi gojek udeh ga ada di apps store ya,aplikasi gojek udeh apps store,netral
aplikasi gojek knpa siii?,aplikasi gojek knpa siii,netral
Aplikasi gojek tolol bgt eror terus,aplikasi gojek tolol bgt eror terus,netral
@jokes4country @GrabID @gojekindonesia Kebijakan goblok karena ga ada pilihan lain untuk 6 orang! Harusnya ada pilihan di mana bisa ga pake gambling... Itu maksud gua... Aturan itu udah gua baca dan GA ADA PILIHAN NON ELEKTRIK DI APLIKASI GRAB GUA... Mo gojek ubah bodo amat yang penting mereka ada...,bijak goblok pilih orang harus pilih mana pake gambling maksud gua atur udah gua baca pilih non elektrik aplikasi grab gua gojek ubah bodo penting,netral
@DPlusID_Help mau bayar pake gopay kok ga bisa? You've linked with this number before ga ke aplikasi gojek nya mau bayar ga bisa,mau bayar pake gopay kok youve linked with this number before aplikasi gojek nya mau bayar,netral
