clean_text,sentiment
seharusnya rp keterangannya knp harus beda jumlah saldo di aplikasi gopay sama gojek kalau sudah di transfer ke gopay tabungan saya lihat ini juga terjadi dibeberapa customer yg baru pertama kali buat gopay tabungan seperti halnya yg terjadi di saya ada yg sampai jutaan juga,positive
tapi saya lihat di akun lain seharusnya rp di gopay saldo terus knp keterangan saldo di aplikasi gopay sama gojek bisa beda,neutral
buat kalian kalau mau beli beras beli d gomart aja aplikasi gojek belinya tiap harus sabtu harganya sktar rb dan free ongkir,neutral
memang aplikasi gojek ini penyelamat di segala kondisi bisa apa gue tanpa abang gojek love gojek️️,negative
deadline mepet hujan deras motor gak bisa dipake langsung aja buka aplikasi gojek order goride bayar pake gopay jangan lupa pakai promo pastiadajalan biar makin hemat pastiadajalan,negative
pov semua promo kyak muncul disaat yg paling dibutuhkan tiap buka aplikasi gojek gsksmg pastiadajalan gojek,neutral
gw baru tau klo gojek di aplikasi drivernya akun gw ada notesnya pelanggan ini titik penjemputan tidak selalu tepat harap menghubungi kembali kek gw ngerasa dih apebuedh,positive
enggak dia instal aplikasi grabgojek dll trs pesen dari titik a ke titik b ntar di situ ada titik ijo letak driver terdekat tinggal d liat aja d map nya ada dimana tuh driver tp y random,neutral
gojek mau berubah jadi aplikasi fintech wkwkw,neutral
bisa ini itu dengan gojek bisa banget dapet hadiah jutaan dari gojek dengan redeem kode pastiadajalan di aplikasi gojek klaim kore unikmu dan menangkan banyak hadiahnya‼️ gskpwt ngampushematbarenggojek gojeksahabatkampus,neutral
mau diskon gede buat goride kedari stasiun pake aja kode promo gostasiun goinf pas transaksi di aplikasi gojek kamu langsung berasa hematnya buruan sikat gostasiun goinf gskpwt ngampushematbarenggojek gojeksahabatkampus yogyakarta,negative
selamat malam kak apabila belum melakukan tap out dengan aplikasi gojek untuk perjalanan esok hari maka bisa dilakukan ya apabila terdapat kendala silakan bisa menghubungi petugas di stasiun keberangkatan tks,neutral
haahh kapan lagi setiap pake aplikasi gojek bakal dapet hadiah menarik jangan lupa dipake guys kode promo pastiadajalan yaa temen temen siapa tau kalian bakal dapetin hadiah hadiah menariknya gsksmg,negative
haahh kapan lagi setiap pake aplikasi gojek bakal dapet hadiah menarik jangan lupa dipake guys kode promo pastiadajalan yaa temen temen siapa tau kalian bakal dapetin hadiah hadiah menariknya gsksmg,negative
saya mau tanya ini kenapa bisa terjadi ya saya pesan gofood dan titik pengantaranalamat sudah sesuai tapi titiknya malah berbeda jauh dengan yang di drivernya jadinya malah harus shareloc di luar aplikasi gojek ini buat gak nyaman antara cust amp driver,positive
mau dapet hadiah jutaan rupiah cuma dari pakai gojek yep kamu nggak salah baca pastiadajalan buat menang asal kamu gercep buruan cek di aplikasi gojek sekarang ngampushematbarenggojek promogojek gskpwt gojeksahabatkampus,neutral
klo gitu ama aja omnapa lo ngojek pake gojek bukan pake maximlo bikin kaya yg punya gojekcoba lo gx pake aplikasi gojekbakalan tutup tu gojeksama gx kirax om narasinya,positive
cara apply code voucher buka aplikasi gojek dan pilih promo ⁠pilih masukan kode promo ⁠masukan kode gofps dan validasi kodenya kalau udh redeem kode gofps nya kamu bisa masukin promo pastiadajalan,neutral
hallo gyuss aku salah satu pengguna gojek hemat yang pastinya memudahkan dalm kegiatan seharihari yukk kalian juga cobain promonya di aplikasi gojek gsksemarang gojek zona jajan goride,negative
kalo login gojek kan dapet otp nah otp nya dimasukan ke aplikasi tapi karena ini fake otp itu masuk ke telegram scammer dia nge loop berkali kali agar scammer pusing bangak otp palsu,positive
hampir saja tangan ini menyentuh aplikasi gojek tahan tahan,positive
heeeehhhh cucu gundik emang hp maneh te boga aplikasi ojolkah grab gojek indriver maxim uber anjiirrrrr boa cicing d leweng sugan,positive
cara apply code voucher buka aplikasi gojek dan pilih promo ⁠pilih masukan kode promo ⁠masukan kode gofps dan validasi kodenya kalau udh redeem kode gofps nya kamu bisa masukin promo pastiadajalan gampang banget kan ayo cepetan apply kode nya,neutral
sumpah trmen trmen maaf tbtb balik ini ada paket salah kirim ke rumahku sumpah paket nya dikirim pake gojek aku terima trs aku bayar soalnya kirain gofood aku yg lagi di jalan jg aku liat aplikasi abang abangnya udh di deket rumah juga aku kaget kok pas dibuka isinya bkn,positive
mau hemat ngapain aja ayo pake gojekplus buat dapetin banyak promo buka aplikasi gojek pake m kode referal goecopick untuk diskon spesial yang bikin kantong kamu tetap aman pastiadajaln gojek goridehemat gsk gojeksahabatkampus,neutral
top most annoying ads while playing mobile games traveloka grabgojek harus dipencet min buat nutup salah pencet dikit langsung pindah aplikasi adakami auto instal sendiri aplikasinya so annoying,neutral
selamat pagi kak untuk pembelian tiket perjalanan commuter line via aplikasi gojek diwajibkan untuk scan in dan out sesuai dengan stasiun yang tertera pada tiket untuk perjalanan yang kakak lakukan silakan dapat menemui petugas passenger service di stasiun akhir tujuannya untuk,neutral
di terminal ada shelter grab atau gojek kok lokasinya di sebelah pom bensin pas tarifnya sesuai aplikasi amp kalau minta dijemput bisa req disitu,neutral
voucher promo pakai goride diskon restock terbatas gopvtnxuf gorideaja wajib redeem sebelum kehabisan redeem di aplikasi gojek atau bisa langsung klik link,neutral
jika lupa klaim voucher gorideaja coba hubungi customer support gojek lewat aplikasi buka menu utama pilih help center lalu vouchers and promotion dan laporkan my voucher is missing bisa juga coba kontak via media sosial resmi gojek tapi cek dulu akun resminya tidak ada,neutral
lagunya perunggu tuh sgt related bgt buat anak rantau yang suka homesick lagu ini tuh jadi motivasi buat mimin buat ngejalanin apa yang mimin sudah mulai mimin jadi semangat buat ikutan campaign kode pastiadajalan di aplikasi gojek gsksmg gojekhemat,negative
gak peduli seberapa macet hujan atau sibuk harimu pastiadajalan bareng gojek semua ada solusinya mau makan kirim barang sampai cari ojek satu aplikasi jutaan kemudahan,negative
untukku bank jago aku pakai gojek app dan udh otomatis konek ke bank jago walau aku ga punya aplikasi dan bukan nasabah selain itu aku pake bibit yg konek ke gojek kalau seabank kena iming dari temen aku yg katanya bunga cair tiap hari aku pengen tau ± lainnya apa,neutral
dips tiap hari pesen gofood goride sampe gosend langganan gojek plus diskon melimpah dompet aman buka aplikasi pesen apa aja hemat terus bikin hidup gampang,negative
tiap hari pesen gofood goride sampe gosend langganan gojek plus juga dongg diskon melimpah dompet aman buka aplikasi pesen apa aja hemat terus bikin hidup lebih gampang gsksmg,negative
ini konten aja kan soalnya masnya nelpon pakai wa kalo aplikasi gojek g kyk gt,neutral
naik gojek gak harus mahal pakai gojekhemat dapetin diskon tiap hari mulai dari rpan aja tetep nyaman tetep aman tetep irit ️ cek promonya di aplikasi sekarang gojekhemat pastiadajalan,negative
semua urusan harian gojek solusinya pakai kode gojekhemat di aplikasi gojek buat nikmatin diskon spesial di tiap layanan masukkan juga kode referral goecopick jangan sampai ketinggalan promonya pastiadajalan gsk gojeksahabatkampus,neutral
pakai kode promo pastiadajalan di aplikasi gojek untuk berbagai layanan dari transportasi sampai kirim barang masukkan kode referral goecopick agar kamu dapat bonus menarik dan aku ikut terbantu pastiadajalan gsk gojeksahabatkampus,negative
hello min usul tolong gofood dilengkapi fitur share loc seperti gosend amp gojek sering jg kami order makan utk org lainkeluarga amp g bisa terus pantau aplikasi utk cek posisinya dmn amp harus kabari penerima dgn share loc penerima bisa cek sendiri ty,neutral
dari pada langganan aplikasi yang jarang kamu pake mending langganan gojek plus disana kamu bakal dapetin berbagai diskon disetiap transaksinya ga bakal rugi deh auto happy teruss gsksolo gojekplus,negative
mau cepat aman dan tanpa ribet pakegojek aja dari antar makanan sampai kirim paket semua beres dalam satu aplikasi gojek pastiadajalan,negative
lu bayangin gw mantengin aplikasi grab gojek hampir menit udah dicancel driver car mereka lebih dari x kondisi jalan gak macet samsek mereka cm ga mau muter balik doang padahal gw bayar loh gua ngabisin menit gua buat nunggu driver nerima orderan gw doang,positive
lah aplikasi gojek aja coding nye boleh nyontek dr si grab punya kalo lo mau tau dia beli coding nya si grab dan cuma ganti bbrp fitur doank,neutral
halo admin kenapa saya mau beli token di aplikasi gojek selalu gagal,positive
lagi ngerasa stuck wajar hidup nggak selalu mulus tapi tenang pastiadajalan gojek siap nemenin setiap langkahmu gunakan kode promo pastiadajalan dapetin diskon spesial buat goride gofood dan gosend yuk buka aplikasi gojek sekarang gsksmg,neutral
tadi pas mau cari makan malam kok malas banget ya cari makanan di luar untung aja tadi nemu kode promo pastiadajalan di gojek pas bangett kondisinya ayukk guysss bisa masukkin kodenya di aplikasi gojek gsksmg,neutral
jujur gue badmood banget kalo iklan gojek di gue soalnya ga keitung langsung lari ke aplikasi nya jadi ke refresh bisa ga sih jangan buat gue nangis gegara vote,positive
gojek aplikasi layanan transportasi ️ gojeg bahasa jawa yang berarti bercanda dua kata ini bunyinya mirip tapi artinya beda jauh jadi kalau naik gojek jangan kebanyakan gojeg biar abangnya tetap fokus ke jalan,negative
baru tau kalo ada aplikasi kupon begini tapi cuma bisa makan ditempat kirain bisa order pake gojek,neutral
kan udah ready tupatnya tinggal masuk aplikasi gojek klik go send gampang kan,neutral
tadi dapet abang gojek tuna rungu beliau info by chat dan terpampang namanya di aplikasi luckily msh inget bahasa isyarat hasil dari jd relawan apg terus abang nya kayak senyumnya lebar gt huaa,negative
masih ada total gr emas buat kamu‼️ ini kesempatan kamu buat tebak dan menangin hadiahnya cek pestakulinergofood di aplikasi gojek untuk tau jawabannya,neutral
cashback untuk ganti suku cadang di planet ban cashback untuk ganti ban di planet ban gratis isi nitrogen ayo serbu promonya di halaman swadaya pada aplikasi gojek driver gojekswadaya salamsatuaspal hematdenganswadaya promoplanetban banpresaplaneto,neutral
ngebid bebas cemas dengan perlindungan dari bpjs ketenagakerjaan banyak manfaatnya cek aplikasi gojek driver klik banner bpjstk dan daftar sekarang juga promo terbatas gojekswadaya promobpjstk salamsatuaspal hematdenganswadaya,negative
voucher promo goride terbaru spesial liburan idul adha amp timnas day goindonesia gopvtnxuf yuklibur wajib redeem sebelum kehabisan redeem di aplikasi gojek atau bisa langsung klik link,neutral
oy apaan gojek minta duit di luar aplikasi,positive
voucher promo gojek terbaru spesial liburan idul adha restock gopvtnxuf yuklibur wajib redeem sebelum kehabisan redeem di aplikasi gojek atau bisa langsung klik link,neutral
berdasarkan keluhan di x pengguna gopay di indonesia sering melaporkan error aplikasi seperti transaksi gagal dan crash saat digunakan di app gojek banyak juga yang kesulitan menghubungi layanan pelanggan dengan laporan cs tidak responsif selain itu ada masalah akses,positive
aplikasi gojek udeh ga ada di apps store ya,positive
aplikasi gojek knpa siii,positive
aplikasi gojek tolol bgt eror terus,positive
kebijakan goblok karena ga ada pilihan lain untuk orang harusnya ada pilihan di mana bisa ga pake gambling itu maksud gua aturan itu udah gua baca dan ga ada pilihan non elektrik di aplikasi grab gua mo gojek ubah bodo amat yang penting mereka ada,positive
mau bayar pake gopay kok ga bisa youve linked with this number before ga ke aplikasi gojek nya mau bayar ga bisa,neutral
bingung mau pulang tapi duitnya paspasan mama dirumah udah kangen banget tapi kamu gabisa pulang goride solusinya masukin kode promo gostasiun atau kode goecofair di aplikasi gojek langsung bisa pulang pergi ke rumah tanpa mikir duit habis gsksolo,neutral
mau ikut irit juga daftar dulu pake kode gokihmsi terus subscribe gojek plus langsung di aplikasi,neutral
jujur ya pengen ngelaporin gojek yg motornya ga sesuai di aplikasi pesen yg xl datengnya yg mini mini sebenernya kasihan si tp dengan perjalanan jauh dan pantatku yg gede ini sungguh tidak nyaman,positive
kapan lagi pake aplikasi gojek bakal dapetin hadiah menarik semakin sering pake pastiadajalan semakin besar peluang menangnya jangan sampe ketinggalan yaa temanteman gsksmg,negative
dapet penumpang ibu ibu marah sama gwe mas saya panggilin juga di sebrang dari tadi gue dengan lantam bu saya jemput sesuai titik yang ibu taro yang kedua gausah dipanggil bu saya di dalem mobil kedap suaranya di aplikasi gojek ada fitur chat,positive
haahh kapan lagi setiap pake aplikasi gojek bakal dapet hadiah menarik jangan lupa dipake guys kode promo pastiadajalan yaa temen temen siapa tau kalian salah satu yang bakal dapetin hadiah hadiah menariknya gsksmg,negative
naik gojek kok motornya beda sama yg di aplikasi kutanya katanya habis ilang pas lagi nunggu antrian go food ya allah orang ini kok tega banget ya,positive
kenapa ya kalo gue lagi jadwalnya ke toko pasti yang belanja minta pesenin grabgojek berguna sekali nih aplikasi di hp gue akwoowkwom,neutral
priti kau nggak tau kah ada aplikasi namanya gojek naik gojek aja kau ngapain minta nebeng sama harry mau kupesankan biar bisa pulang langsung,positive
lha biasane ketok staff e ojol disana jg kok grab gojek gt kdg nawarin promo aplikasi ke penumpang,positive
ada yg pernah pengalaman gini gk gue gk pernah pinjol punya aplikasi nya aja engga tiba di chat gini pas gue tanya dia bilang dari gojek gue bingung njir tapi bukti ktp sama foto ada ktp gue pernah ilang tahun lalu yg sekarang itu ktp baru bisa dipake emang,positive
lihat dong dilapangan jangan hanya duduk manis dikantor ngk kebayang tiba aplikasi gojek dan grab gangguan aplikasi seminggu bisa krismon,positive
guys klen klo dapet voc gojek apa gocar yg smpe cmn bayar under k tuh pas bayarnya cash sesuai aplikasi ato dibuletin k soalnya aku pernah dpt diskon cmn bayar k doang tp ak sungkan jirr dan waktu itu gopayku gada saldooo plsss masukannya,neutral
aplikasi ijo itu grab ya apa gojek,neutral
udah banyak kok ini tinggal ketik di wa mas tolong bikinkan aplikasi kayak travelokagojek,neutral
awalnya itu berdiri sebagai aplikasi karya anak bangsa yg utamanya membantu anak bangsa utk berkarya dng menjadi mitra mobile yg menjelajahi area yg luas hingga ojek konvensional pun perlahan tergerus tapi sekarang driveraja ceritaojol gojek,positive
dapet rb sekali atau bbrp kali habis itu apa ini ga nylesein akar masalah masalahnya adalah iklim ekonomi yg ga sehat dan pengusaha yg ga teregulasi bayangin seorang gojek dipotong penghasilannya oleh aplikasi pemerintah gaada solusi,positive
aku samsung sudah gak bisa bang lemot ampun kamera menurun cuma bisa whatsapp amp youtube itu pun nge lag mau download aplikasi macam shopee gojek gabisa karna ram nya kecil jaman sekrng paling gak kudu up hp tiap tahun apalagi aplikasi makin kesini makin besar,negative
kalo gitu malah gada bedanya dari opang saya banyak bicara dengan para mitra dari gojek dan grab memang potongan aplikasi gt kalau begitu customer tetap punya kewajiban ngasih lebih,positive
aplikasi yang harus diinstall sebelum pergi gojek grab maxim,neutral
mau bikin aplikasi gojek gofood dan goride exclude payment oke gw siapin server database domain api hingga aplikasi mobile cross platform setup google maps api website customer dan backoffice pokoknya terima beres satu hari jadi wow secepat itu memang secepat itu,negative
tibatiba logout sendiri dari aplikasi gojek dan gak bisa login karena technical issue ada yang mengalami juga gaaak,positive
ga bisa kak ini aku hari ga bisa samsek yaaa emang jgn bergantung ke satu pemasukan aja makanya skrg byk driver yg join minimal aplikasi misal shope sama gojek gitu,neutral
selamat pagi kak perjalanan krl bisa langsung menggunakan kmt kartu multi trip kartu uang elektronik bank emoney brizzi tapcash flazz atau aplikasi gojek pada menu gotransit ya kak informasi lebih lanjut kakak dapat menghubungi twitter sebagai,neutral
hangry asuu emang promonya di shopee ugalan aplikasi lain juga terdampak,positive
aku nyari dimsum mentai bukan di gojekgrab tapi di search bar buat nyari aplikasi,neutral
shopee gak kaya grab atau gojek emang gitu aplikasi aneh dia mah yg lama resto yg kena susp driver,positive
jaman kerja di daerah cibiru sana saya sampe punya tukang gojek langganan jd sering minta dianter dr kantor ke rumah di luar aplikasi tarifnya samain kayak di aplikasi sebenernya bisa pake ojek langganan dari opang tp ya males kelakuannya gitu,positive
hallo gyuss aku salah satu pengguna gojek hemat yang pastinya memudahkan dalm kegiatan seharihari yukk kalian juga cobain promonya di aplikasi gojek gskbandung,negative
cara ikutannya gampang banget‼️ buka aplikasi gojek masuk ke bagian promo masukkan kode gofps dulu setelah reedem kode gofps masukin kode promo pastiadajalan langsung validasi dan aktifin,neutral
gojek gak pernah telepon masalah paylater notif aplikasi iya ada dan itu ada berhari hari sebelumnya sebelum deadline tanggal kalau gak salah tanggal bulan sebelumnya sudah ada notif bayar dan itu bisa hampir setiap hari ada notif nya kalau kamu belum bayar tagihan,positive
gskbandunghiii pengguna aplikasi gojek ada kabar baik nih buat kalian saat ini gojek sedang mengadakan kompetisi pastiadajalan,neutral
hi pengguna aplikasi gojek ada kabar baik nih buat kalian saat ini gojek sedang mengadakan kompetisi pastiadajalan mau ikut berburu hadiah jutaan rupiah caranya gampang banget cukup transaksi gojek kumpulkan poin dan jadi salah satu pemenangnya gojekbandung gskbandung,neutral
gak ada yang susah kalau udah ada jalan apalagi pastiadajalan tapi ingat ini promo terbatas jangan cuma scroll doang langsung eksekusi di aplikasi gojek sekarang gojekpromo cuanbersamagojek,negative
buka aplikasi gojek dan pilih promo ⁠pilih masukan kode promo ⁠masukan kode gofps dan validasi kodenya kalau udh redeem kode gofps nya kamu bisa masukin promo pastiadajalan,neutral
hi hi pengguna aplikasi gojek ada kabar baik ni buat kalian gojek sedang adain kompetisi pastiadajalan ini bukan sekadar promo ini jalan menuju kemenangan,negative
setelah dua kode berhasil diredeem kamu resmi ikut promo dari gojek tinggal tunggu hadiahnya bisa berupa saldo atau bahkan perangkat keren seperti ipad jangan tunggu lamalama kuota promonya terbatas langsung coba sekarang juga di aplikasi gojek,neutral
buka aplikasi gojek dan pilih promo ⁠pilih masukan kode promo ⁠masukan kode gofps dan validasi kodenya kalau udh redeem kode gofps nya kamu bisa masukin promo pastiadajalan,neutral
hi hi pengguna aplikasi gojek ada kabar baik ni buat kalian gojek sedang adain kompetisi pastiadajalan ini bukan sekadar promo ini jalan menuju kemenangan,negative
liat temen dapet iphone dari gojek kamu cuma dapet notif doang yuk masukin kode pastiadajalan di aplikasi gojek dan kumpulin poinnya hadiah jutaan nunggu kamu pastiadajalan ayo daftarin dirimu di,neutral
haii guysss siapa yg mau hadiah ipad cungg ‍️‍️ aku ada info menarik nih kalian bisa dapetin hadiah bernilai jutaan rupiah dengan enroll kode pastiadajalan di aplikasi gojek dan share kode referal kalian sebanyakbanyaknya daftar sekarang yukk,neutral
aneh banget ini aplikasi aku cuma mesen kali gojek dah driver uda sampe ke titik tibatiba dapet telpon dari driver yang berbeda katanya uda sampe titik dengan book titik jemput dan tujuan yang sama kaya dipesanan pertama anehhh buat rugi gopay ku ajaaa,positive
sudah hari ke belum ada kejelasan pembelian kuota di aplikasi myim tang dibayarkan melalui gopay cs gojek menyatakan transaksi sudah berhasil dan menyarankan ke merchant,neutral
voucher promo pakai goride diskon restock gopvtnxuf gorideaja wajib redeem sebelum kehabisan redeem di aplikasi gojek atau bisa langsung klik link,neutral
gorideaja on ‼️ diskon goride rb input di aplikasi gojek,neutral
ini situasi nya mirip sama sopir angkot atau ojek pangkalan yg takut sama aplikasi gojekgrab,positive
gojek x sinology teater gunakan kode unik godramahc cara redeem buka aplikasi gojek masuk ke menu promos masukkan kode godramahc nikmati potongan spesialnya gojekxsinology godramahc gojek vouchergojek voucher,neutral
gojek bisa pesen driver dlm satu aplikasi gk,neutral
bukan gitu kak emang aku ga mau nambah aplikasi yg aku install aja buat ewallet aku udah merasa cukup shopeepay sama ovo karena ekosistem gopay apps lain kayak gojek aku ga pake jd aku males install banyak apps,positive
hai kak saya pesan gocar di aplikasi gojek kali dg pembayaran online debit linebank yg pertama dibatalkan dari pihak gojek karena sistem yang error tapi kenapa di linebank transaksi tetap terhitung kali ya saldo saya pun juga terpotong kali bgmn ya kak,neutral
halo kak saya pesan gocar di aplikasi kali yg pertama dibatalkan dari pihak gojek karena sistem yang error tapi kenapa transaksi tetap terhitung kali ya saldo saya pun juga terpotong kali please sistemnya diperbaiki ini kejadian bkn yg pertama kalinya,positive
selamat pagi kak metode pembayaran tersebut saat ini belum bisa digunakan sebagai tiket commuter line ya kak alternatif bisa menggunakan aplikasi caccesaccess by kaigojek gotransit untuk pembelian tiket via scan qr code ya tks,neutral
gojek x sinology teater gunakan kode unik godramahc cara redeem buka aplikasi gojek masuk ke menu promos masukkan kode godramahc nikmati potongan spesialnya gojekxsinology godramahc,neutral
fess cara redeem buka aplikasi gojek masuk ke menu promos masukkan kode godramahc nikmati potongan spesialnya,neutral
ogut rasa provider ol spt gojek grab dkk mengarah ke lintahdaratonline mrk bebankn user dg jasa pelayanan juga mrk seenak knya bebankn jasa aplikasi kpd kustomer padahal itu adalah core tool milik mrk no apps no business zu fortsetzen,positive
emg ratingnya jelek sih mana bawa aplikasi ojol lain dia blg yang lain jg sering aja minta naikkan dih dikira aku baru pertama kah pake grab gojek maxim gitu emg sifatmu aja yg jelek arman,positive
bantu jawab ya nder di aplikasi gojekgrab untuk uang parkir sudah di tambahkan otomatis saat order gacoan kalo sopi belum ada uang parkir dari aplikasinya,neutral
baru kali ini ditolak driver gojek garagara dia ngambek sama aplikasi gojeknya gue pesen gosend sore ini order langsung dapet gue tungguin hampir menit ga sampesampe gue chat abangnya lama dibales dibalesnya pake vn intinya dia ngambek sama gojek krn dapet orderan,positive
bener bener harus kuat kalau vote sebong karena iklan yg di dapet itu kalau gak gojek grab fizzo ya pinjol mana kadang suka otomatis kebuka aplikasi nya,negative
garagara hujan tp pengen makan akhirnya gofood aja pake promo buat gofood jadi ngga boros juga krn dapet diskon dari gotedxpu sama pake pastiadajalan di aplikasi gojek and finally bisa lanjut nugas yg numpuk itu,negative
kalau orang tua kamu udah berangkat ibadah haji tetep bisa kok dibeliin paket tri ibadah di aplikasi gojek paket roaming trilebihhematsinyalcepat ini lagi promo hemat sampai ribu klik atau buka aplikasi gojekmu sekarang iniwaktunyakita,neutral
tolong dong ini begimana ceritanya di aplikasi gopay saldo ada masuk tapi di aplikasi gojek saldonye kagak masuk kagak ada mau makan enii laper,positive
yang mau cobain bisa langsung ke outlet hangry atau order lewat aplikasi online gojek disini ⤵️,neutral
selamat siang kak guna kami lakukan pengecekan dan teruskan ke unit terkait mohon beritahu waktu tanggal amp jam kejadian dan nomor telepon akun aplikasi gojek tersebut tks,neutral
perempuan hebat itu bernama lutfy azizah cerita dibalik aplikasi zendo gojek ala muhammadiyah oleh dahlan iskan jumat lutfy azizah foto bersama keluarga zendo tulungagung muhammadiyah punya zendo sudah beroperasi di kotakabupaten tanggal juni besok,neutral
lagi buruburu pas mau pulkam tenang pastiadajalan bareng goride bisa dapet diskon sd ribu pake kode promo gostasiun di aplikasi gojek jangan lupa juga pake kode referal goecofair promonya lumayan banget buat anak kost kayak aku gsksolo,negative
akhirnya coba pesen lagi berharap dapet driver yang beda tapi ternyata driver itu lagi tanpa babibu langsung aku batalin dan download aplikasi gojek,positive
gopub diresmikan pada tanggal april sebagai layanan pesan antar makanan dan marketplace makanan berbasis aplikasi yang diintegrasikan dengan aplikasi gojek,neutral
mw makan tapi mager banget untungnya pastiadajalan untuk gofood jadi ngga boros juga krn dapet diskon pake kode promo pastiadajalan lalu pake kode goecofair di aplikasi gojek perut dan kantong aman deh gsksolo,negative
ternyata cuman di aplikasi gojek,neutral
mau vidcall atau telpon keluarga kapan aja selama ibadah haji pasti lancar kalau ditemenin paket tri ibadah karena trilebihhematsinyalcepat beneran bisa bikin ibadah kamu makin tenang karena bisa terus berkabar dengan keluarga di rumah beli paketnya melalui aplikasi gojek,negative
tolong dong gojek cantumkan harga yg pantas di aplikasi supaya ga ada driver yg beralasan lg kalau harga di aplikasi itu salah dan minta uang lebih karna jarak jauh jg bilang ga ada uang utk bensin asli mau bgt ngelaporin tp ga tega liat bacaan bakal sampai putus mitra,positive
agak repot dikit sih soalnya aku harus buka aplikasi gojek terus milih menunya yang apa kalo gak salah suka chocolate cookies smoothies sunday chocolate ya terus harus nyantumin nomor wanya incess yang kayaknya udah ganti biar drivernya bisa hubungin kalo nyasar hehe,negative
eh kok perasaan harga es krim mixue naik harga ya perasaan dulu sekitar rb sekarang jdi rb utk sundae nya apa cmn di aplikasi gojek,neutral
kabar gembira buat yang punya aplikasi gojek nih ada promo seru buat kalian caranya ketik kode hwjelisyamlg klaim kode pastiadajalan dapetin promo seru yang dar der dor gojekindonesia promogojek pastiadajalan voucher weekendvibes zonauang zonajajan,negative
aplikasi gojek pas lagi ngojek,neutral
restock voucher promo pakai goride diskon gopvtnxuf gorideaja cepetan redeem sebelum kehabisan redeem di aplikasi gojek atau bisa langsung klik link,neutral
gojek yg namanya pt aplikasi karya anak bangsa lu pikir didirikan dimana di singapur jg dodol,positive
sekalian aplikasi gojek nya di matiin aja biar pada nganggur dan biar ada konten baru,positive
ini aplikasi gojek kenapa dah,positive
beneran dosaa kasian ayahku sama mamaku mau ke gambir ditolak gocar x ada kayaknya tadi trus aku suruh cari gojek yg lagi berhenti deket daerah travel itu akhirnya ditembak k padahal di aplikasi k trs sendiri naik gojek motor untungnya ga hujan,positive
jir samaaa senentn abang pun chaos sampe gue turun pesen gojek gada yg pickup mana buru ngejer jam krl untung bgt ada satpam baik nyariin gojek pinggir jalan yg mau ngangkut gue tanpa aplikasi huhu,negative
